alpha,beta
-1.2000000000000135,-3.1500000000000066
-0.5500000000000158,-1.5000000000000124
-2.5500000000000087,1.0499999999999785
-0.3500000000000165,-1.5000000000000124
-1.100000000000014,-3.2500000000000067
2.299999999999974,-1.9500000000000108
-0.7000000000000153,-0.9000000000000146
-0.1000000000000174,-2.9500000000000077
-1.1500000000000137,-1.100000000000014
-1.050000000000014,-2.6500000000000083
-0.2500000000000169,-2.0000000000000107
-1.4500000000000126,-1.2000000000000135
-0.1000000000000174,-1.8000000000000114
-0.45000000000001616,-1.4500000000000126
1.0999999999999783,-0.3000000000000167
-1.100000000000014,-2.3000000000000096
-0.8000000000000149,-1.3000000000000131
0.3999999999999808,-0.20000000000001705
